,cik,company_name,form_type,filing_date,accession,ticker
30185,1038509,PRUCO LIFE INSURANCE OF NEW JERSEY,10-K,2018-03-08,0001038509-18-000007,
30186,103872,"VOLT INFORMATION SCIENCES, INC.",10-K,2018-01-12,0000103872-18-000006,volt
30188,1038773,SMARTFINANCIAL INC.,10-K,2018-03-16,0001038773-18-000010,smbk
30190,1039101,"L3 TECHNOLOGIES, INC.",10-K,2018-02-22,0001140361-18-009565,
30192,1039399,FORMFACTOR INC,10-K,2018-02-27,0001039399-18-000014,form
30194,1039684,ONEOK INC /NEW/,10-K,2018-02-27,0001039684-18-000021,oke
30195,1039828,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,10-K,2018-02-23,0001039828-18-000006,ael-pb
30197,1040161,"PIXELWORKS, INC",10-K,2018-03-14,0001040161-18-000006,pxlw
30198,1040426,SYNTEL INC,10-K,2018-02-26,0001193125-18-058590,synt
30200,1040593,CARRIZO OIL & GAS INC,10-K,2018-02-28,0001040593-18-000017,crzo
30202,1040765,VORNADO REALTY LP,10-K,2018-02-12,0000899689-18-000009,
30203,1040829,"Ryman Hospitality Properties, Inc.",10-K,2018-02-27,0001193125-18-060772,rhp
30204,1040896,"Intellicheck, Inc.",10-K,2018-03-23,0001493152-18-003779,idn
30205,1040971,SL GREEN REALTY CORP,10-K,2018-02-23,0001040971-18-000006,slg-pi
30206,1041024,"ROCKWELL MEDICAL, INC.",10-K,2018-03-15,0001558370-18-002142,rmti
30207,1041061,YUM BRANDS INC,10-K,2018-02-22,0001041061-18-000013,yum
30210,1041550,HOPFED BANCORP INC,10-K,2018-03-15,0001193125-18-083696,
30211,1041657,"URBAN ONE, INC.",10-K,2018-03-16,0001144204-18-015060,uonek
30212,104169,Walmart Inc.,10-K,2018-03-30,0000104169-18-000028,wmt
30214,1041859,"Childrens Place, Inc.",10-K,2018-03-22,0001628280-18-003499,plce
30215,1042046,AMERICAN FINANCIAL GROUP INC,10-K,2018-02-23,0001042046-18-000014,afgb
30216,1042074,"CymaBay Therapeutics, Inc.",10-K,2018-03-15,0001564590-18-005831,cbay
30217,1042418,"HedgePath Pharmaceuticals, Inc.",10-K,2018-02-16,0001193125-18-047834,inti
30218,1042642,DISH DBS CORP,10-K,2018-03-30,0001558370-18-002595,
30219,1042729,MERCANTILE BANK CORP,10-K,2018-03-05,0001437749-18-003838,mbwm
30220,1042773,CENTERPOINT ENERGY RESOURCES CORP,10-K,2018-02-22,0001042773-18-000004,
30221,1042776,"Piedmont Office Realty Trust, Inc.",10-K,2018-02-21,0001042776-18-000040,pdm
30222,1042893,DRIL-QUIP INC,10-K,2018-02-27,0001042893-18-000003,drq
30223,1043000,CAPITAL SENIOR LIVING CORP,10-K,2018-03-02,0001564590-18-004240,csu
30224,1043121,BOSTON PROPERTIES LTD PARTNERSHIP,10-K,2018-02-28,0001656423-18-000004,
30225,1043186,American Electric Technologies Inc,10-K,2018-03-29,0001564590-18-007087,slng
30226,1043219,ANNALY CAPITAL MANAGEMENT INC,10-K,2018-02-16,0001628280-18-001815,nly-pi
30227,1043222,CHINAWE COM INC,10-K,2018-03-29,0001615774-18-002174,chwe
30228,1043277,C H ROBINSON WORLDWIDE INC,10-K,2018-02-28,0001043277-18-000007,chrw
30229,1043337,STONERIDGE INC,10-K,2018-03-07,0001144204-18-013135,sri
30230,1043509,SONIC AUTOMOTIVE INC,10-K,2018-02-28,0001564590-18-003800,sah
30231,1043565,POTOMAC FUTURES FUND LP,10-K,2018-03-28,0001193125-18-098996,
30232,1043604,JUNIPER NETWORKS INC,10-K,2018-02-23,0001043604-18-000011,jnpr
30233,1043951,CAMPBELL FUND TRUST,10-K,2018-03-29,0001140361-18-015897,
30234,1044378,BIOCEPT INC,10-K,2018-03-28,0001564590-18-006985,bioc
30235,1044777,VASCO DATA SECURITY INTERNATIONAL INC,10-K,2018-03-08,0001558370-18-001736,ospn
30236,1045309,W R GRACE & CO,10-K,2018-02-22,0001045309-18-000014,gra
30237,1045425,RAIT Financial Trust,10-K,2018-03-16,0001564590-18-006057,
30238,1045450,EPR PROPERTIES,10-K,2018-03-01,0001045450-18-000021,epr-pe
30239,1045609,"Prologis, Inc.",10-K,2018-02-15,0001564590-18-002228,pldgp
30240,1045610,"Prologis, L.P.",10-K,2018-02-15,0001564590-18-002228,
30241,10456,BAXTER INTERNATIONAL INC,10-K,2018-02-23,0001564590-18-002954,bax
30242,1045742,LIVE VENTURES Inc,10-K,2018-01-18,0001683168-18-000179,live
30244,1045810,NVIDIA CORP,10-K,2018-02-28,0001045810-18-000010,nvda
30246,1046025,HERITAGE FINANCIAL CORP /WA/,10-K,2018-02-28,0001046025-18-000014,hfwa
30248,1046102,RITCHIE BROS AUCTIONEERS INC,10-K,2018-02-26,0001279569-18-000342,rba
30249,1046203,GUARANTY FEDERAL BANCSHARES INC,10-K,2018-03-30,0001437749-18-005913,gfed
30250,1046257,Ingredion Inc,10-K,2018-02-21,0001558370-18-000857,ingr
30251,1046311,CHOICE HOTELS INTERNATIONAL INC /DE,10-K,2018-03-01,0001046311-18-000006,chh
30252,1046327,REALNETWORKS INC,10-K,2018-02-27,0001046327-18-000010,rnwk
30253,1046568,CAREER EDUCATION CORP,10-K,2018-02-21,0001564590-18-002683,prdo
30254,1046995,EMAGIN CORP,10-K,2018-03-30,0001562762-18-000120,eman
30255,1047122,RAYTHEON CO/,10-K,2018-02-14,0001047122-18-000022,
30256,1047127,"AMKOR TECHNOLOGY, INC.",10-K,2018-02-23,0001047127-18-000009,amkr
30257,1047166,UNITED RENTALS NORTH AMERICA INC,10-K,2018-01-24,0001067701-18-000006,
30258,1047335,NATIONAL HEALTHCARE CORP,10-K,2018-02-20,0001437749-18-002879,nhc
30259,1047340,FRESH DEL MONTE PRODUCE INC,10-K,2018-02-20,0001047340-18-000030,fdp
30260,1047862,CONSOLIDATED EDISON INC,10-K,2018-02-15,0001047862-18-000037,ed
30261,1047884,ANWORTH MORTGAGE ASSET CORP,10-K,2018-02-28,0001558370-18-001273,
30264,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2018-02-15,0001628280-18-001756,mar
30265,1048477,BIOMARIN PHARMACEUTICAL INC,10-K,2018-02-26,0001564590-18-003114,bmrn
30267,1048789,FelCor Lodging LP,10-K,2018-03-02,0001715629-18-000002,
30268,104889,Graham Holdings Co,10-K,2018-02-23,0000104889-18-000011,ghc
30270,104894,WASHINGTON REAL ESTATE INVESTMENT TRUST,10-K,2018-02-20,0000104894-18-000022,wre
30272,104918,AVISTA CORP,10-K,2018-02-21,0000104918-18-000043,ava
30273,1049502,MKS INSTRUMENTS INC,10-K,2018-02-28,0001193125-18-062607,mksi
30275,1049606,COMPX INTERNATIONAL INC,10-K,2018-02-28,0001564590-18-003809,cix
30276,1049782,BROOKLINE BANCORP INC,10-K,2018-02-28,0001049782-18-000002,brkl
30277,105016,WATSCO INC,10-K,2018-03-01,0001193125-18-067229,wso-b
30278,1050377,PC CONNECTION INC,10-K,2018-03-09,0001558370-18-001807,cnxn
30279,1050441,EAGLE BANCORP INC,10-K,2018-03-01,0001104659-18-014116,egbn
30280,1050446,MICROSTRATEGY INC,10-K,2018-02-07,0001564590-18-001547,mstr
30281,1050606,"SALEM MEDIA GROUP, INC. /DE/",10-K,2018-03-16,0001144204-18-015007,salm
30282,1050743,PEAPACK GLADSTONE FINANCIAL CORP,10-K,2018-03-12,0001174947-18-000352,pgc
30283,1050797,COLUMBIA SPORTSWEAR CO,10-K,2018-02-22,0001050797-18-000004,colm
30284,1050915,QUANTA SERVICES INC,10-K,2018-02-28,0001050915-18-000003,pwr
30285,1051251,J CREW GROUP INC,10-K,2018-03-27,0001564590-18-006853,
30287,1051343,COMMUNITY WEST BANCSHARES /,10-K,2018-03-02,0001140361-18-011708,cwbc
30288,1051470,CROWN CASTLE INTERNATIONAL CORP,10-K,2018-02-26,0001051470-18-000082,cci
30289,1051512,TELEPHONE & DATA SYSTEMS INC /DE/,10-K,2018-02-26,0001051512-18-000009,tds-pu
30290,1051627,AXT INC,10-K,2018-03-09,0001558370-18-001801,axti
30291,1052100,WADDELL & REED FINANCIAL INC,10-K,2018-02-23,0001558370-18-001016,wdr
30292,1052354,MAN AHL DIVERSIFIED I LP,10-K,2018-03-29,0001193125-18-102087,madl
30293,1052752,GETTY REALTY CORP /MD/,10-K,2018-03-01,0001564590-18-004142,gty
30294,1053059,ESSEX PORTFOLIO LP,10-K,2018-02-22,0000920522-18-000011,
30295,105319,WEIGHT WATCHERS INTERNATIONAL INC,10-K,2018-02-28,0001564590-18-003755,ww
30296,1053352,HERITAGE COMMERCE CORP,10-K,2018-03-16,0001558370-18-002223,htbk
30298,1053374,IPASS INC,10-K,2018-03-08,0001053374-18-000014,ipas
30299,1053507,AMERICAN TOWER CORP /MA/,10-K,2018-02-28,0001053507-18-000006,amt
30300,1053532,LaSalle Hotel Properties,10-K,2018-02-20,0001053532-18-000006,
30301,1053584,MACATAWA BANK CORP,10-K,2018-02-15,0001140361-18-008674,mcbc
30302,1053706,"CRA INTERNATIONAL, INC.",10-K,2018-03-12,0001047469-18-001540,crai
30303,1054102,"Interpace Diagnostics Group, Inc.",10-K,2018-03-23,0001493152-18-003786,idggw
30304,105418,WEIS MARKETS INC,10-K,2018-03-15,0000105418-18-000006,wmk
30305,1054274,"Alliqua BioMedical, Inc.",10-K,2018-03-02,0001144204-18-012566,adyx
30306,1054721,BSQUARE CORP /WA,10-K,2018-02-22,0001564590-18-002910,bsqr
30307,1054905,INNOSPEC INC.,10-K,2018-02-15,0001193125-18-047390,iosp
30308,1055160,"MFA FINANCIAL, INC.",10-K,2018-02-15,0001055160-18-000005,mfa-pc
30309,1055454,SCHOOL SPECIALTY INC,10-K,2018-03-15,0001193125-18-082774,scoo
30310,1055726,"INOVIO PHARMACEUTICALS, INC.",10-K,2018-03-14,0001055726-18-000014,ino
30311,1056087,MCCLATCHY CO,10-K,2018-03-12,0001056087-18-000042,
30312,105608,AG&E HOLDINGS INC.,10-K,2018-03-30,0001437749-18-005843,wga
30313,1056288,FEDERATED INVESTORS INC /PA/,10-K,2018-02-23,0001056288-18-000004,fhi
30314,105634,EMCOR GROUP INC,10-K,2018-02-22,0000105634-18-000045,eme
30315,1056358,MANNATECH INC,10-K,2018-03-26,0001056358-18-000026,mtex
30316,1056386,Internap Corp,10-K,2018-03-15,0001628280-18-003255,
30317,1056696,MANHATTAN ASSOCIATES INC,10-K,2018-02-09,0001564590-18-001747,manh
30319,1056903,AMERICAN STATES WATER CO,10-K,2018-02-26,0001056903-18-000006,awr
30320,1056943,PEOPLES FINANCIAL SERVICES CORP.,10-K,2018-03-14,0001558370-18-002058,pfis
30321,1057051,MANAGED FUTURES PREMIER ENERGY FUND L.P.,10-K,2018-03-28,0001193125-18-098930,
30323,1057083,PC TEL INC,10-K,2018-03-16,0001564590-18-006036,pcti
30324,1057352,COSTAR GROUP INC,10-K,2018-02-23,0001057352-18-000011,csgp
30325,1057379,"HACKETT GROUP, INC.",10-K,2018-03-09,0001564590-18-005161,hckt
30326,1057706,FIRST BANCORP /PR/,10-K,2018-03-16,0001057706-18-000022,fbpro
30327,105770,WEST PHARMACEUTICAL SERVICES INC,10-K,2018-02-26,0000105770-18-000006,wst
30328,1057877,IDACORP INC,10-K,2018-02-22,0001057877-18-000027,ida
30329,1058057,MARVELL TECHNOLOGY GROUP LTD,10-K,2018-03-29,0001058057-18-000009,
30330,1058090,CHIPOTLE MEXICAN GRILL INC,10-K,2018-02-08,0001058090-18-000018,cmg
30331,1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,10-K,2018-02-27,0001058290-18-000009,ctsh
30332,1058623,CUMULUS MEDIA INC,10-K,2018-03-29,0001058623-18-000016,cmls
30333,1058811,IMMERSION CORP,10-K,2018-02-27,0001628280-18-002309,immr
30334,1058867,GUARANTY BANCSHARES INC /TX/,10-K,2018-03-16,0001058867-18-000028,gnty
30335,1059142,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",10-K,2018-02-28,0001564590-18-003674,atax
30336,1059262,SP Plus Corp,10-K,2018-02-22,0001059262-18-000008,crlkp
30338,1059376,CORPORATE BOND BACKED CERT TR SER 1998-CAT 1,10-K,2018-03-29,0001193125-18-101693,
30339,1059377,CORPORATE BOND BACKED CERT TR SER 1998-ADM 1,10-K,2018-03-29,0001193125-18-101710,
30340,1059378,CORPORATE BOND BACKED CERT TR SER 1998-NSC 1,10-K,2018-03-29,0001193125-18-101649,
30341,1059556,MOODYS CORP /DE/,10-K,2018-02-27,0001193125-18-058986,mco
30343,1060009,"KINDRED HEALTHCARE, INC",10-K,2018-03-01,0001564590-18-003936,
30344,1060219,SALISBURY BANCORP INC,10-K,2018-03-15,0001554795-18-000055,sal
30345,1060224,LIFE STORAGE LP,10-K,2018-02-27,0001564590-18-003512,
30346,1060349,"GAMCO INVESTORS, INC. ET AL",10-K,2018-03-09,0001060349-18-000004,gbl
30347,1060386,"BRANDYWINE OPERATING PARTNERSHIP, L.P.",10-K,2018-02-23,0001564590-18-003023,
30348,1060391,"REPUBLIC SERVICES, INC.",10-K,2018-02-09,0001060391-18-000005,rsg
30349,1060409,"SUNVESTA, INC.",10-K,2018-03-30,0001607062-18-000103,
30351,1060736,SEATTLE GENETICS INC /WA,10-K,2018-02-15,0001193125-18-046213,sgen
30352,1060822,CARTERS INC,10-K,2018-02-27,0001060822-18-000006,cri
30353,1061027,SUNESIS PHARMACEUTICALS INC,10-K,2018-03-09,0001564590-18-005146,virx
30354,1061069,AVALON HOLDINGS CORP,10-K,2018-03-15,0001437749-18-004696,awx
30356,1061219,ENTERPRISE PRODUCTS PARTNERS L P,10-K,2018-02-28,0001061219-18-000008,epd
30357,1061630,"BLACKSTONE MORTGAGE TRUST, INC.",10-K,2018-02-13,0001193125-18-042819,bxmt
30358,1061937,HOST HOTELS & RESORTS L.P.,10-K,2018-02-27,0001564590-18-003330,
30359,1061983,CYTOKINETICS INC,10-K,2018-03-05,0001564590-18-004398,cytk
30360,1062047,CONVERGYS CORP,10-K,2018-02-21,0001062047-18-000012,
30361,1062231,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,10-K,2018-02-16,0001062231-18-000013,axl
30362,1062292,XO GROUP INC.,10-K,2018-03-02,0001062292-18-000003,xoxo
30363,1062822,"LEXICON PHARMACEUTICALS, INC.",10-K,2018-03-01,0001062822-18-000008,lxrx
30364,1063197,"CurAegis Technologies, Inc.",10-K,2018-03-16,0001437749-18-004856,crgs
30365,1063344,HERSHA HOSPITALITY TRUST,10-K,2018-02-23,0001063344-18-000034,ht-pd
30366,1063537,RiceBran Technologies,10-K,2018-03-16,0001140361-18-013699,ribt
30367,1063761,SIMON PROPERTY GROUP INC /DE/,10-K,2018-02-23,0001558370-18-000981,spg-pj
30368,1064728,PEABODY ENERGY CORP,10-K,2018-02-26,0001064728-18-000007,btu
30369,1065059,CENTRUS ENERGY CORP,10-K,2018-03-15,0001065059-18-000006,leu
30370,1065088,EBAY INC,10-K,2018-02-05,0001065088-18-000009,ebayl
30371,1065201,AMERINST INSURANCE GROUP LTD,10-K,2018-03-29,0001193125-18-101432,
30372,1065280,NETFLIX INC,10-K,2018-01-29,0001065280-18-000069,nflx
30373,106532,WEYCO GROUP INC,10-K,2018-03-13,0001144204-18-014341,weys
30374,1065332,NIC INC,10-K,2018-02-22,0001065332-18-000003,
30375,106535,WEYERHAEUSER CO,10-K,2018-02-16,0000106535-18-000013,wy
30377,1065696,LKQ CORP,10-K,2018-02-28,0001065696-18-000004,lkq
30378,1065837,SKECHERS USA INC,10-K,2018-03-01,0001564590-18-004045,skx
30380,1066247,REGENCY CENTERS LP,10-K,2018-02-27,0000910606-18-000010,
30381,106640,WHIRLPOOL CORP /DE/,10-K,2018-02-13,0000106640-18-000019,whr
30382,1066605,HEIDRICK & STRUGGLES INTERNATIONAL INC,10-K,2018-03-13,0001066605-18-000003,hsii
30383,1066656,MANAGED FUTURES PREMIER GRAHAM L.P.,10-K,2018-03-28,0001193125-18-099090,
30384,1066684,THEGLOBE COM INC,10-K,2018-03-30,0001144204-18-018184,tglo
30385,1066764,"Spine Injury Solutions, Inc",10-K,2018-03-29,0001185185-18-000544,spin
30386,1067063,MACK CALI REALTY L P,10-K,2018-02-21,0001104659-18-011118,
30388,1067701,UNITED RENTALS INC /DE,10-K,2018-01-24,0001067701-18-000006,uri
30389,1067837,ENTERCOM COMMUNICATIONS CORP,10-K,2018-03-16,0001193125-18-085958,aud
30392,1067983,BERKSHIRE HATHAWAY INC,10-K,2018-02-26,0001193125-18-057033,brk-b
30393,1068148,PARK OHIO INDUSTRIES INC/OH,10-K,2018-03-21,0001068148-18-000003,
30394,1068237,GLOBAL DIVERSIFIED FUTURES FUND L.P.,10-K,2018-03-28,0001193125-18-099052,
30395,1068851,PROSPERITY BANCSHARES INC,10-K,2018-02-28,0001564590-18-003637,pb
30396,1068875,"BLUCORA, INC.",10-K,2018-03-01,0001068875-18-000018,bcor
30397,1069157,EAST WEST BANCORP INC,10-K,2018-02-27,0001628280-18-002352,ewbc
30398,1069183,"AXON ENTERPRISE, INC.",10-K,2018-03-01,0001069183-18-000020,axon
30399,1069202,LENNOX INTERNATIONAL INC,10-K,2018-02-16,0001069202-18-000004,lii
30400,1069258,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",10-K,2018-02-28,0001069258-18-000006,ktos
30401,1069308,Acer Therapeutics Inc.,10-K,2018-03-07,0001564590-18-004714,acer
30402,1069530,PAIN THERAPEUTICS INC,10-K,2018-02-06,0001069530-18-000004,sava
30404,1069878,TREX CO INC,10-K,2018-02-21,0001193125-18-052127,trex
30406,1069996,FEDERATED NATIONAL HOLDING Co,10-K,2018-03-13,0001069996-18-000003,fnhc
30407,1070081,"PTC THERAPEUTICS, INC.",10-K,2018-03-06,0001070081-18-000042,ptct
30408,1070154,STERLING BANCORP,10-K,2018-03-01,0001070154-18-000007,stl-pa
30409,1070296,FIRST CAPITAL INC,10-K,2018-03-12,0001171843-18-001846,fcap
30410,1070336,ACHILLION PHARMACEUTICALS INC,10-K,2018-02-22,0001193125-18-052951,
30411,1070412,CNX Resources Corp,10-K,2018-02-07,0001070412-18-000031,cnx
30412,1070423,PLAINS ALL AMERICAN PIPELINE LP,10-K,2018-02-27,0001070423-18-000006,paa
30413,1070494,ACADIA PHARMACEUTICALS INC,10-K,2018-02-27,0001564590-18-003526,acad
30415,1070680,CENTRAL FEDERAL CORP,10-K,2018-03-15,0001070680-18-000006,cfbk
30416,1070750,"HOST HOTELS & RESORTS, INC.",10-K,2018-02-27,0001564590-18-003330,hst
30417,1070985,"CoreCivic, Inc.",10-K,2018-02-22,0001564590-18-002898,cxw
30418,1071255,"GOLDEN ENTERTAINMENT, INC.",10-K,2018-03-16,0001564590-18-006007,gden
30420,1071411,FUSION TELECOMMUNICATIONS INTERNATIONAL INC,10-K,2018-03-22,0001654954-18-002943,
30421,1071739,CENTENE CORP,10-K,2018-02-20,0001071739-18-000030,cnc
30423,1071993,CONTANGO OIL & GAS CO,10-K,2018-03-09,0001071993-18-000012,mcf
30424,1072627,KINGSWAY FINANCIAL SERVICES INC,10-K,2018-03-16,0001072627-18-000030,kfsyf
30425,107263,WILLIAMS COMPANIES INC,10-K,2018-02-22,0000107263-18-000006,wmb
30427,1073429,US CONCRETE INC,10-K,2018-03-01,0001073429-18-000048,uscr
30428,1073475,CITIZENS FIRST CORP,10-K,2018-03-13,0001558370-18-001975,
30432,1074902,LCNB CORP,10-K,2018-03-09,0001074902-18-000015,lcnb
30433,1075415,SENIOR HOUSING PROPERTIES TRUST,10-K,2018-02-27,0001075415-18-000010,dhcnl
30434,1075531,Booking Holdings Inc.,10-K,2018-02-27,0001075531-18-000015,bkng
30435,1075607,TC PIPELINES LP,10-K,2018-02-26,0001047469-18-001045,
30436,1075706,CITIZENS HOLDING CO /MS/,10-K,2018-03-15,0001193125-18-083037,cizn
30437,1075736,"Crexendo, Inc.",10-K,2018-03-06,0001654954-18-002211,cxdo
30438,1076682,"POLARITYTE, INC.",10-K,2018-01-30,0001493152-18-001228,pte
30441,1076930,NOVANTA INC,10-K,2018-02-28,0001564590-18-003687,novt
30442,1077183,NEOGENOMICS INC,10-K,2018-03-13,0001564590-18-005479,neo
30443,1077428,TEXAS CAPITAL BANCSHARES INC/TX,10-K,2018-02-14,0001077428-18-000018,tcbio
30444,1077561,"China Elite Information Co., Ltd.",10-K,2018-03-15,0001140361-18-013496,
30445,1077771,UMPQUA HOLDINGS CORP,10-K,2018-02-23,0001077771-18-000044,umpq
30448,1078099,"Meet Group, Inc.",10-K,2018-03-16,0001078099-18-000018,
30449,107815,WISCONSIN ELECTRIC POWER CO,10-K,2018-02-28,0000107815-18-000136,welpm
30450,1078207,"NAUTILUS, INC.",10-K,2018-03-06,0001078207-18-000010,nls
30452,107832,WISCONSIN POWER & LIGHT CO,10-K,2018-02-23,0000352541-18-000019,
30453,107833,WISCONSIN PUBLIC SERVICE CORP,10-K,2018-02-28,0000107815-18-000138,
30456,1080014,"Innoviva, Inc.",10-K,2018-02-23,0001047469-18-001016,inva
30457,1080029,"Dougherty's Pharmacy, Inc.",10-K,2018-03-29,0001683168-18-000801,
30458,1080056,"THESTREET, INC.",10-K,2018-03-13,0001615774-18-001857,
30459,1080319,"Newgioco Group, Inc.",10-K,2018-03-30,0001017386-18-000073,nwgiw
30460,1080340,"MANHATTAN BRIDGE CAPITAL, INC",10-K,2018-03-19,0001493152-18-003536,loan
30462,1080657,"Presidio Property Trust, Inc.",10-K,2018-03-20,0001564590-18-006319,sqftp
30463,1080709,ARENA PHARMACEUTICALS INC,10-K,2018-03-14,0001564590-18-005660,arna
30464,1081316,BERKSHIRE HATHAWAY ENERGY CO,10-K,2018-02-26,0001081316-18-000014,
30465,1082038,DURECT CORP,10-K,2018-03-08,0001564590-18-004889,drrx
30466,1082324,VirnetX Holding Corp,10-K,2018-03-16,0001140361-18-013886,vhc
30468,1082554,UNITED THERAPEUTICS Corp,10-K,2018-02-21,0001047469-18-000911,uthr
30470,1082923,STAMPS.COM INC,10-K,2018-02-28,0001140361-18-010835,stmp
30472,1083220,"XCel Brands, Inc.",10-K,2018-03-30,0001144204-18-018261,xelb
30473,1083301,IKONICS CORP,10-K,2018-03-02,0001558370-18-001442,iknx
30474,1083490,SUNRISE REAL ESTATE GROUP INC,10-K,2018-03-06,0001144204-18-012903,srre
30476,1083522,JONES SODA CO,10-K,2018-03-29,0001083522-18-000006,jsda
30477,1083643,"FAUQUIER BANKSHARES, INC.",10-K,2018-03-29,0001083643-18-000009,
30480,1083848,CAN CAL RESOURCES LTD,10-K,2018-03-12,0001683168-18-000632,ccre
30483,1084048,"J2 GLOBAL, INC.",10-K,2018-03-01,0001084048-18-000001,jcom
30487,1084384,PARETEUM Corp,10-K,2018-03-30,0001144204-18-018243,teum
30488,1084554,LIGHTBRIDGE Corp,10-K,2018-03-14,0001477932-18-001292,ltbr
30489,1084580,Jefferies Group LLC,10-K,2018-01-26,0001084580-18-000006,
30492,1084961,ENCORE CAPITAL GROUP INC,10-K,2018-02-21,0001084961-18-000013,ecpg
30493,1084991,NATURAL GAS SERVICES GROUP INC,10-K,2018-03-09,0001084991-18-000011,ngs
30495,1085243,"VirTra, Inc",10-K,2018-03-30,0001493152-18-004294,vtsi
30497,1085277,SKINVISIBLE INC,10-K,2018-03-23,0001663577-18-000138,skvi
30498,1085392,PUGET ENERGY INC /WA,10-K,2018-03-02,0001085392-18-000012,
30499,1085621,Actua Corp,10-K,2018-03-30,0001085621-18-000003,
30500,1085869,PERFICIENT INC,10-K,2018-03-01,0001085869-18-000009,prft
30501,1085913,FARMERS & MERCHANTS BANCORP,10-K,2018-03-16,0001140361-18-013710,fmcb
30502,1086222,AKAMAI TECHNOLOGIES INC,10-K,2018-03-01,0001086222-18-000052,akam
30503,1086303,PACIFIC WEBWORKS INC,10-K,2018-01-26,0001086303-18-000008,hybt
30504,1086600,ALLIANCE RESOURCE PARTNERS LP,10-K,2018-02-23,0001558370-18-000985,arlp
30505,1087022,ALR TECHNOLOGIES INC.,10-K,2018-02-02,0001721868-18-000081,alrt
30506,1087022,ALR TECHNOLOGIES INC.,10-K,2018-03-30,0001721868-18-000218,alrt
30510,1087294,CUMBERLAND PHARMACEUTICALS INC,10-K,2018-03-09,0001628280-18-003034,cpix
30512,1087456,UNITED BANCSHARES INC/OH,10-K,2018-03-02,0001144204-18-012571,uboh
30513,108772,XEROX CORP,10-K,2018-02-23,0000108772-18-000012,
30514,1088034,PAYMENT DATA SYSTEMS INC,10-K,2018-03-30,0001088034-18-000004,usio
30516,1088638,"COCONNECT, INC.",10-K,2018-01-11,0001556244-18-000009,mmnd
30517,1088638,"COCONNECT, INC.",10-K,2018-01-23,0001556244-18-000021,mmnd
30527,1088856,CORCEPT THERAPEUTICS INC,10-K,2018-02-28,0001564590-18-003840,cort
30528,1089063,DICKS SPORTING GOODS INC,10-K,2018-03-30,0001089063-18-000029,dks
30531,1089511,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,10-K,2018-03-16,0001437749-18-004865,alsk
30532,1089531,"KINGOLD JEWELRY, INC.",10-K,2018-03-15,0001144204-18-014981,kgji
30533,1089598,BAYNON INTERNATIONAL CORP,10-K,2018-03-28,0001014897-18-000017,
30534,1089748,HUNTSMAN INTERNATIONAL LLC,10-K,2018-02-23,0001558370-18-001028,
30535,1089819,Cleco Corporate Holdings LLC,10-K,2018-02-21,0001089819-18-000006,
30536,108985,YORK WATER CO,10-K,2018-03-06,0000108985-18-000032,yorw
30537,1089872,"GAIA, INC",10-K,2018-02-27,0001564590-18-003326,gaia
30538,1089907,SWK Holdings Corp,10-K,2018-03-29,0001552781-18-000138,swkh
30539,1090009,SOUTHERN FIRST BANCSHARES INC,10-K,2018-02-28,0001206774-18-000631,sfst
30540,1090012,DEVON ENERGY CORP/DE,10-K,2018-02-21,0001564590-18-002582,dvn
30541,1090061,OMNOVA SOLUTIONS INC,10-K,2018-02-02,0001090061-18-000010,omn
30543,1090396,TABLE TRAC INC,10-K,2018-03-30,0001144204-18-018239,tbtc
30544,1090425,LAMAR ADVERTISING CO/NEW,10-K,2018-02-27,0001564590-18-003444,lamr
30545,1090727,UNITED PARCEL SERVICE INC,10-K,2018-02-21,0001090727-18-000009,ups
30548,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",10-K,2018-02-02,0001091667-18-000025,chtr
30549,1091748,"Argo Group International Holdings, Ltd.",10-K,2018-02-27,0001564590-18-003547,argo-pa
30551,1091883,CIRCOR INTERNATIONAL INC,10-K,2018-03-01,0001091883-18-000009,cir
30552,1091907,WORLD WRESTLING ENTERTAINMENTINC,10-K,2018-02-08,0001091907-18-000008,wwe
30553,1092289,TRANSATLANTIC PETROLEUM LTD.,10-K,2018-03-21,0001564590-18-006472,
30554,1092662,"CHEMBIO DIAGNOSTICS, INC.",10-K,2018-03-08,0001092662-18-000013,cemi
30555,1092699,SPS COMMERCE INC,10-K,2018-02-26,0001564590-18-003249,spsc
30557,1093082,HUTTIG BUILDING PRODUCTS INC,10-K,2018-03-07,0001564590-18-004735,hbp
30560,1093557,DEXCOM INC,10-K,2018-02-27,0001093557-18-000018,dxcm
30561,1093672,PEOPLES BANCORP OF NORTH CAROLINA INC,10-K,2018-03-15,0001654954-18-002569,pebk
30562,1093691,PLUG POWER INC,10-K,2018-03-12,0001558370-18-001828,plug
30563,109380,ZIONS BANCORPORATION /UT/,10-K,2018-03-01,0000109380-18-000102,zionp
30564,1094038,TAPIMMUNE INC.,10-K,2018-03-23,0001144204-18-016734,mrkr
30565,1094093,PROGRESS ENERGY INC,10-K,2018-02-21,0001326160-18-000034,
